Category,Headline,Owner agency,Date Promised,Status,Requires state action or cooperation,Targets,Short description,Description,SEO tags,Updates,Source Text,Source URL,Last updated,URL Slugs,Anthony ,Cha,Geli
Housing,Fully Fund Neighborhood Pillars,"Department of Housing Preservation and Development
",2025-02-03,Not started,No,Preserve 20000 homes,Fully funds the Neighborhood Pillars program to acquire and preserve distressed housing.,"• Fully fund the Neighborhood Pillars program with $1 billion in city capital funding.

• The program finances nonprofit acquisition of distressed rental housing to keep homes permanently affordable.

• The plan targets preserving up to 20,000 homes over ten years, restoring capacity reduced by earlier cuts to housing preservation funding.","neighborhood pillars, affordable housing preservation, non-profit housing, hpd, acquisition",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,
Housing,Perform Repairs And Bill Landlords,"Department of Housing Preservation and Development
",2025-02-03,Not started,No,No specific targets stated,Uses the city's emergency repair powers to fix hazards directly and bill the costs to landlords.,"• The city would step in to repair hazardous housing conditions when landlords refuse to make required fixes.

• The program relies on emergency repair powers to address serious housing code violations after owners fail to comply.

• Costs for the work would be billed to landlords, shifting the financial burden away from tenants.","emergency repairs, landlord accountability, housing maintenance, hpd, tenant safety",No updates yet,"""Protecting New York Tenants""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Advocate to Repeal Real Property Tax Law Section 581,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Pushes for state legislation to repeal a tax provision governing how condominiums and cooperatives are assessed.,"• Advocate for state action to repeal Real Property Tax Law Section 581, which requires residential cooperatives and condominiums to be assessed using the income-based method applied to rental buildings.

• Under current law, assessments for condos and co-ops rely on comparable rental income rather than individual unit market values, shaping how these properties are taxed.

• Repeal would require approval by the State Legislature, as assessment rules for these property types are set in state law rather than by the city.","property tax, section 581, condos, co-ops, tax reform",No updates yet,"""Homeowner Policy Memo""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,"Extend and Reform J-51 Tax Abatement
",Mayor's Office,2025-02-03,Not started,Yes,Extend to 2035,Seek to extend the J-51 tax abatement program and reduce barriers that limit participation.,"• Advocate for extending the J-51 tax abatement program through 2035, allowing landlords to continue accessing tax relief tied to building repairs and capital improvements.

• The proposal also calls for reducing application fees and administrative hurdles that discourage smaller property owners from participating in the program.

• J-51 is framed as a tool to support ongoing building maintenance and repairs, with the extension requiring approval by the State Legislature.","j-51, tax abatement, housing repairs, incentives, albany",No updates yet,"""Homeowner Policy Memo""; ""Promise Tracked""",,2025-05-16,,Okay,Okay,Okay
Housing,Pass Community Opportunity to Purchase Act (COPA),City Council,2025-02-03,Not started,No,No specific targets stated,Legislates a right for qualified nonprofits to purchase residential buildings when landlords put them up for sale.,"• The Mamdani administration will work with the City Council to pass the Community Opportunity to Purchase Act, which applies when landlords sell residential multifamily buildings.

• Under COPA, qualified nonprofit buyers are given time to assemble an offer and the ability to match a third-party bid before a sale is finalized.

• The policy is described as being modeled on similar successful legislation in Washington, D.C., and San Francisco.","copa, community land trusts, housing acquisition, anti-displacement, legislation",No updates yet,2025-05-16,,,,Okay,Okay,"no sources, instead dates got shifted to sources cell"
Housing,Advocate For Tenant Opportunity to Purchase Act,Mayor's Office,2025-02-03,Not started,Yes,No specific targets stated,Supports state legislation giving tenants the right to purchase their buildings.,"• Advocate for passage of the Tenant Opportunity to Purchase Act (TOPA) at the state level.

• The bill would give tenants the right to collectively purchase their buildings when landlords sell.

• The mayor would work with the state on how TOPA would be implemented in New York City if enacted.","topa, tenant rights, homeownership, albany, housing policy",No updates yet,2025-05-16,,,,Okay,Okay,"no sources, instead dates got shifted to sources cell"
Housing,Provide City-Backed Loans For Co-ops,HPD,2025-02-03,Not started,No,No specific targets stated,Creates affordable loan products for co-ops to fund capital repairs.,"• The administration would provide cooperative housing buildings with access to City-backed loans for capital repairs and building upgrades.

• The financing would focus on Housing Development Fund Corporation co-ops, which are limited-equity cooperatives serving low- and moderate-income residents, and Mitchell-Lama co-ops, a state–city housing program created to provide affordable housing through regulated cooperatives and rentals.

• The loans are described as a way to help co-ops address rising maintenance costs and assessments without displacing existing shareholders. ","co-ops, hdfc, loans, housing repairs, affordability",No updates yet,2025-05-16,,,,Okay,Okay,"no sources, instead dates got shifted to sources cell"
Housing,Pass Community Land Act,City Council,2025-02-03,Not started,No,No specific targets stated,Enacts a legislative package to prioritize community land trusts for public land.,"• The administration would work with the City Council to pass the Community Land Act, which would prioritize Community Land Trusts when city-owned land is sold.

• Community Land Trusts are nonprofit organizations that own land to keep housing affordable and under community control.

• The proposed legislation would expand the number of properties available to Community Land Trusts, building on the more than 20 CLTs that already operate across New York City.","community land trusts, public land, housing policy, legislation, clt",No updates yet,2025-05-16,,,,Okay,Okay,"no sources, instead dates got shifted to sources cell"
Housing,Increase Funding for the Citywide Community Land Trust Initiative,City Council,2025-02-03,Not started,No,$6 million annually,Allocates matching funds to raise the Citywide CLT Initiative budget to $6 million.,"• The administration would provide matching funds for the City Council’s Citywide Community Land Trust Initiative, increasing total funding to $6 million annually.

Community Land Trusts are nonprofit organizations that hold land to support long-term affordability and community control of housing, with more than 20 operating across New York City.

• The funding proposal supports other community land trust policies, including plans to pass the Community Land Act governing the sale of city-owned land.","clt, funding, community land trusts, budget, housing",No updates yet,2025-05-16,,,,Okay,Okay,"no sources, instead dates got shifted to sources cell"
Housing,Seed a $35 Million Community Land Trust Acquisition Fund,New York City Department of Housing Preservation and Development,2025-02-03,Not started,No,$35 million fund,Creates a fund to provide Community Land Trusts with capital to acquire and rehabilitate property.,"• The administration would seed a $35 million Community Land Trust Acquisition and Rehabilitation Fund.

• The fund would provide Community Land Trusts with capital to acquire and rehabilitate properties.

• The financing would leverage partnerships with community lenders and philanthropic foundations.","clt, acquisition fund, housing finance, community ownership, hpd",No updates yet,2025-05-16,,,,Okay,Okay,"no sources, instead dates got shifted to sources cell"
Immigration,Remove ICE From City Facilities,Mayor's Office,2025-02-03,Not started,No,Immediate,Expels ICE agents from all City facilities and ends cooperation with federal enforcement.,• Remove ICE agents from all City facilities and end cooperation. • The policy prohibits ICE presence on Rikers Island and other city properties. • It strictly enforces sanctuary laws preventing resource sharing with immigration authorities.,"ice, sanctuary city, immigration, rikers, deportation defense",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Immigration,Invest In Immigration Legal Defense,MOIA,2025-02-03,Not started,No,$165 million total,Invests $165 million total in immigration legal defense services.,• Invest $165 million in immigration legal defense services. • Funding supports representation for immigrants facing deportation. • The investment ensures due process for vulnerable New Yorkers.,"legal defense, immigration, funding, moia, counsel",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Immigration,Fund Rapid Response Legal Collaborative,MOIA,2025-02-03,Not started,No,$25 million funding,Increases funding for the Rapid Response Legal Collaborative to $25 million.,• Increase funding for the Rapid Response Legal Collaborative to $25 million. • The collaborative provides immediate counsel for detained immigrants. • Increased resources address the high volume of deportation cases.,"rapid response, legal aid, immigration, funding, detention",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Immigration,Fund Immigrant Family Unit Program,MOIA,2025-02-03,Not started,No,$30 million funding,Increases funding for the New York Immigrant Family Unit Program to $30 million.,• Increase funding for the New York Immigrant Family Unit Program to $30 million. • The program offers public defender-style representation for detained immigrants. • Funding boosts capacity to keep families together.,"nyifup, legal aid, immigration, funding, family unity",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Immigration,Fund Immigrant Opportunity Initiative,MOIA,2025-02-03,Not started,No,$40 million funding,Increases funding for the Immigrant Opportunity Initiative to $40 million.,• Increase funding for the Immigrant Opportunity Initiative to $40 million. • The initiative assists with legal services for citizenship and residency applications. • Expanded funding helps more New Yorkers secure permanent status.,"immigrant opportunity initiative, legal services, funding, naturalization, moia",No updates yet,"""Trump-Proofing Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Labor,"Create 15,000 Union Jobs",Mayor's Office,2025-02-03,Not started,No,"15,000 jobs annually","Generates 15,000 union jobs annually through green school renovation projects.","• Create 15,000 union jobs annually through green school projects. • Jobs focus on construction, maintenance, and renewable energy installation. • Positions are covered by Project Labor Agreements to ensure fair wages.","union jobs, green economy, school construction, workforce, labor",No updates yet,"""Green Schools Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Labor,Raise Minimum Wage To $30,"City Council, Mayor's Office",2025-02-13,Not started,Yes,$30 per hour by 2030,Raises the NYC minimum wage to $30 per hour by 2030 through local legislation.,"• Raise the New York City minimum wage to $30 per hour by 2030. • The plan phases in increases: $20 in 2027, $23.50 in 2028, $27 in 2029, and $30 in 2030. • Wages will be indexed to inflation or productivity starting in 2031.","minimum wage, labor, $30 by 30, wages, city council",No updates yet,"""City & State Article""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Labor,Establish Delivery Advocacy Board,DCWP,2025-02-03,Not started,No,No specific targets stated,Forms a board to study the delivery industry and advise on worker protections.,• Establish a Delivery Advocacy Board. • The board advises the City Council and DCWP on issues affecting delivery workers and restaurants. • It proposes industry standards and labor protections.,"delivery workers, labor board, advocacy, gig economy, dcwp",No updates yet,"""Delivery Apps Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Labor,Strengthen Delivery App Licensing,DCWP,2025-02-03,Not started,No,No specific targets stated,Expands licensing requirements for third-party delivery apps to protect workers.,• Strengthen licensing requirements for third-party delivery apps. • New rules mandate fair pay transparency and protection against unfair deactivation. • Licensing conditions require data protection and safety equipment provision.,"delivery apps, licensing, labor rights, gig workers, dcwp",No updates yet,"""Delivery Apps Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Labor,Ban Non-Compete Clauses,City Council,2025-02-03,Not started,No,No specific targets stated,Passes legislation prohibiting employers from requiring non-compete agreements.,• Pass a bill prohibiting employers from requiring non-compete clauses. • The legislation prevents companies from restricting workers' future employment options. • The ban applies to all workers to improve mobility and wages.,"non-compete, labor rights, worker mobility, city council, legislation",No updates yet,"""Anti-monopoly Platform""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Labor,Double DCWP Budget,DCWP,2025-02-03,Not started,No,Double budget,Doubles the budget of the Department of Consumer and Worker Protection.,• Double the budget of the Department of Consumer and Worker Protection. • Increased funding supports expanded enforcement of labor and consumer laws. • Resources allow for more staff to investigate wage theft and fraud.,"dcwp, budget, labor enforcement, consumer protection, funding",No updates yet,"""Anti-monopoly Platform""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
LGBTQIA+,Invest in Gender-Affirming Care,H+H,2025-02-03,Not started,No,$65 million,Invests $65 million in public providers to expand gender-affirming care access.,• Invest $65 million in public providers for gender-affirming care. • Funds go to NYC Health + Hospitals and community clinics. • Investment ensures access to care for trans youth and adults regardless of federal policy.,"gender-affirming care, healthcare, lgbtqia+, funding, h+h",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,What is H+H?
LGBTQIA+,Declare NYC LGBTQIA+ Sanctuary,Mayor's Office,2025-02-03,Not started,No,No specific targets stated,Formally declares New York City a sanctuary city for LGBTQIA+ individuals.,• Declare New York City a sanctuary city for LGBTQIA+ individuals. • The declaration protects access to care and prohibits cooperation with out-of-state prosecutions. • City resources will not be used to enforce anti-trans laws from other jurisdictions.,"sanctuary city, lgbtqia+, protection, rights, declaration",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
LGBTQIA+,Establish Office Of LGBTQIA+ Affairs,Mayor's Office,2025-02-03,Not started,No,No specific targets stated,Creates a new Office of LGBTQIA+ Affairs to coordinate citywide services.,"• Establish the Office of LGBTQIA+ Affairs. • The office oversees LGBTQIA+ initiatives across all agencies. • It serves as a central hub for policy, advocacy, and community support.","office of lgbtqia+ affairs, agency creation, queer rights, city hall, coordination",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
LGBTQIA+,Increase Youth Emergency Beds,DYCD,2025-02-03,Not started,No,200 beds,Increases emergency housing beds for youth ages 21-24 to 200 beds.,• Increase emergency housing beds for youth ages 21-24 to 200 beds. • The expansion addresses homelessness among LGBTQIA+ youth. • Funding covers comprehensive services at housing sites.,"youth homelessness, housing beds, lgbtqia+, dycd, shelter",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
LGBTQIA+,Establish Trans Workforce Program,Mayor's Office of Workforce Development,2025-02-03,Not started,No,$3 million funding,Creates a Trans Workforce Development Program with $3 million in funding.,• Establish a Trans Workforce Development Program with $3 million in funding. • The program supports job training and placement for trans New Yorkers. • It includes a CUNY scholarship initiative for specific career paths.,"trans workforce, jobs, training, funding, economic opportunity",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
LGBTQIA+,Increase Trans Equity Fund,Mayor's Office,2025-02-03,Not started,No,$10 million funding,Increases the Trans Equity Initiative Fund to $10 million.,• Increase the Trans Equity Initiative Fund to $10 million. • The fund supports trans-led community organizations. • A new upfront funding model addresses reimbursement delays for small non-profits.,"trans equity fund, funding, grants, community organizations, lgbtqia+,No updates yet",No updates yet,"""LGBTQIA+ Memo""; ""Promise Tracked""",,2025-05-16,,,Okay,Okay
Libraries,Commit Budget To Libraries,OMB,2025-02-03,Not started,No,0.5 percent of budget,Commits 0.5 percent of the total NYC budget to public libraries.,• Commit 0.5 percent of the NYC budget to libraries. • The baseline funding ensures libraries are not subject to annual budget cuts. • Stable funding supports 7-day service and facility maintenance.,"libraries, budget, funding, public services, omb",No updates yet,"""Platform""; ""Promise Tracked""",,2025-05-16,,,,Okay
Revenue,Raise Corporate Tax Rate,Mayor's Office,2025-02-03,Not started,Yes,11.5 percent rate,Advocates to raise the top state corporate tax rate to 11.5 percent.,• Advocate to raise the top state corporate tax rate to 11.5 percent. • The proposal matches New Jersey’s rate to generate $5 billion annually. • Revenue from this tax supports public services and infrastructure.,"corporate tax, revenue, tax policy, albany, budget",No updates yet,"""Revenue Proposal""; ""Promise Tracked""",,2025-05-16,,,,Okay
Revenue,Implement City Millionaire Tax,Mayor's Office,2025-02-03,Not started,Yes,2 percent on over $1M,Advocates for a 2 percent city income tax on incomes over $1 million.,• Advocate for a 2 percent city income tax on incomes over $1 million. • The tax targets the top 1 percent of earners to raise $4 billion annually. • It introduces progressivity into the city's flat income tax structure.,"millionaire tax, income tax, revenue, inequality, budget",No updates yet,"""Revenue Proposal""; ""Promise Tracked""",,2025-05-16,,,,Okay
Revenue,Hire Additional Tax Auditors,Department of Finance,2025-02-03,Not started,No,50 auditors,Hires 50 additional tax auditors to improve revenue collection.,• Hire 50 additional tax auditors. • Increased staffing targets tax evasion and underpayment. • The measure is projected to generate at least $165 million in recovered revenue.,"tax auditors, revenue collection, finance, enforcement, staffing",No updates yet,"""Revenue Proposal""; ""Promise Tracked""",,2025-05-16,,,,Okay
Revenue,Collect Outstanding Fines,Department of Finance,2025-02-03,Not started,No,25 percent annually,Staffs the Department of Finance to collect 25 percent of outstanding fines annually.,"• Staff the Department of Finance to collect 25 percent of outstanding fines annually. • The effort targets $2.1 billion in unpaid fines, including from negligent landlords. • Improved collection aims to bring in $525 million per year.","fine collection, revenue, enforcement, finance, debt",No updates yet,"""Revenue Proposal""; ""Promise Tracked""",,2025-05-16,,,,Okay
Revenue,End University Property Tax Exemptions,Mayor's Office,2025-01-07,Not started,Yes,No specific targets stated,Advocates for legislation to end property tax exemptions for Columbia and NYU.,• Pass legislation to end property tax exemptions for Columbia and NYU. • The proposal removes tax breaks for wealthy private universities. • Taxing these institutions aims to recoup hundreds of millions in lost revenue.,"property tax, universities, columbia, nyu, tax exemption",No updates yet,"""WNYC Interview""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Deploy Subway Outreach Teams,"DCS, MTA",2025-02-03,Not started,No,100 stations,Deploys outreach teams to 100 subway stations to assist those in need.,"• Deploy outreach teams to 100 subway stations. • Teams consist of peers, mental health professionals, and EMTs. • The initiative targets stations with the highest rates of homelessness and incidents.","subway safety, outreach, mental health, homelessness, mta",No updates yet,2025-05-16,,,,,,Okay
Safety,Convert Vacant MTA Space,"DCS, MTA",2025-02-03,Not started,No,No specific targets stated,Transforms vacant commercial space in subway stations into service centers.,• Convert vacant MTA commercial space into service centers. • Spaces will provide medical services and connections to housing for homeless New Yorkers. • The project utilizes existing unused infrastructure to deliver care directly in transit hubs.,"mta, subway services, homelessness, adaptive reuse, mental health",No updates yet,2025-05-16,,,,,,Okay
Safety,Expand Transit Ambassador Program,"MTA, DCS",2025-02-03,Not started,No,No specific targets stated,Increases the number of Transit Ambassadors to assist riders in subway stations.,"• Expand the Transit Ambassador program at subway stations. • Ambassadors provide directions, information, and safety checks for riders. • Increased presence aims to improve customer service and deter disorder.","transit ambassadors, mta, subway safety, customer service, ridership",No updates yet,2025-05-16,,,,,,Okay
Safety,Create Department Of Community Safety,DCS,2025-02-03,Not started,No,No specific targets stated,Establishes a new department to oversee non-police public safety initiatives.,"• Create the Department of Community Safety. • The agency centralizes violence prevention, mental health response, and victim services. • It coordinates a whole-of-government approach to safety beyond policing.","department of community safety, public safety, agency creation, violence prevention, dcs",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Move B-HEARD To DCS,DCS,2025-02-03,Not started,No,No specific targets stated,Transfers the B-HEARD crisis response program to the Department of Community Safety.,• Move the B-HEARD program under the jurisdiction of the Department of Community Safety. • The transfer aims to better integrate crisis response with other prevention services. • Reforms include adding peer counselors to every response team.,"b-heard, crisis response, mental health, dcs, structural reform",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Expand B-HEARD Citywide,DCS,2025-02-03,Not started,No,Every neighborhood,Expands B-HEARD mental health teams to cover every neighborhood in the city.,• Expand the B-HEARD program to every neighborhood. • High-need areas will receive two to three dedicated teams. • Expansion represents a 150 percent increase in program funding.,"b-heard, expansion, mental health crisis, citywide coverage, dcs",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Increase Crisis Management Funding,DCS,2025-02-03,Not started,No,275 percent increase,Increases funding for the Crisis Management System by 275 percent.,• Increase funding for the Crisis Management System by 275 percent. • The boost supports violence interrupters and cure violence programs. • Enhanced funding allows for expansion into more precincts.,"crisis management system, cure violence, gun violence, funding, dcs",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Increase Hate Violence Prevention Funding,DCS,2025-02-03,Not started,No,$26 million total,Boosts funding for hate violence prevention programs to $26 million.,"• Increase funding for hate violence prevention programs to $26 million. • This represents an 800 percent increase from current levels. • Funds support community-based training, education, and response initiatives.","hate violence, prevention, funding, dcs, budget",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Reinvigorate Hate Crimes Committee,DCS,2025-02-03,Not started,No,No specific targets stated,Restarts the Interagency Committee on Hate Crimes to coordinate city efforts.,• Reinvigorate the Interagency Committee on Hate Crimes. • The committee coordinates actions across agencies to address bias incidents. • Revitalization includes rebuilding the Community Advisory and Services Team.,"hate crimes, interagency committee, coordination, safety, dcs",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Safety,Double Safe Horizon Funding,DCS,2025-02-03,Not started,No,Double funding,Doubles funding for Safe Horizon to support crime victims.,• Double funding for Safe Horizon and connect it to the Crisis Management System. • Increased resources ensure victims of crime receive counseling and support. • Integration with CMS improves coordination for gun violence survivors.,"safe horizon, victim services, funding, dcs, support",No updates yet,"""Community Safety Report""; ""Promise Tracked""",,2025-05-16,,,,Okay
Small Business,Reduce Small Business Fines,Mayor's Office,2025-02-03,Not started,No,50 percent reduction,Cuts fines and fees for small businesses by 50 percent.,• Reduce small business fines and fees by 50 percent. • The reduction focuses on initial operational costs and minor infractions. • The policy aims to lower barriers to entry for local entrepreneurs.,"small business, fines, fees, bureaucracy, mom and pop",No updates yet,"""Small Business Memo""; ""Promise Tracked""",,2025-05-16,,,,Okay
Small Business,Appoint Mom & Pops Czar,Mayor's Office,2025-02-03,Not started,No,No specific targets stated,Appoints a dedicated official to cut red tape for small businesses.,"• Appoint a ""Mom & Pops Czar"" reporting directly to the Mayor. • The official coordinates across agencies to streamline permitting and regulations. • The role acts as a direct advocate for small business needs within City Hall.","mom and pop czar, small business, bureaucracy, city hall, appointments",No updates yet,"""Small Business Memo""; ""Promise Tracked""",,2025-05-16,,,,Okay
Small Business,Increase BEST Funding,SBS,2025-02-03,Not started,No,$25 million annually,Increases funding for Business Express Service Teams to $25 million annually.,• Increase funding for the Business Express Service Teams (BEST) to $25 million annually. • The investment represents a 500 percent increase for one-on-one business support. • Enhanced funding expands outreach and case management for business owners.,"best, small business services, funding, support, sbs",No updates yet,"""Small Business Memo""; ""Promise Tracked""",,2025-05-16,,,,Okay
Transportation,Eliminate Bus Fares,Metropolitan Transportation Authority,2025-01-07,Not started,Yes,Permanent free fares,Permanently eliminates fares on all New York City buses.,"• Mayor Zohran Mamdani, during the campaign, said he would work to make all New York City buses fare-free.

• The proposal builds on an MTA pilot that made five bus routes fare-free, with one route in each borough.

• Mamdani cited an estimated annual cost of about $800 million and said the policy would be funded as part of his broader agenda to raise revenue through increased corporate taxation.","free bus, mta, public transit, transportation equity, bus fares",No updates yet,2025-05-16,,,,Okay,,Okay
Transportation,Expand Priority Bus Lanes to Speed Up Buses,DOT,2025-01-07,Not started,No,No specific targets stated,Accelerates the construction of priority bus lanes and loading zones.,"• The city will rapidly build priority bus lanes, expand bus queue jump signals, and add dedicated loading zones on city streets.

• The infrastructure changes are intended to improve bus reliability by giving buses priority in traffic.

• Dedicated loading zones are included to reduce double-parking that can block bus lanes and slow service.","bus lanes, dot, transit speed, infrastructure, loading zones",No updates yet,2025-05-16,,,,Okay,,Okay
Transportation,Expand E-Bike Programs,DOT,2025-01-07,Not started,No,No specific targets stated,"Expands DOT programs for e-bike charging, trade-ins, and safety education.",• Expand Department of Transportation e-bike programs (charging/buybacks). • The initiative includes public battery-swapping cabinets and trade-in events for unsafe batteries. • Programs support the safety of delivery workers and reduce fire risks.,"e-bikes, dot, battery safety, delivery workers, mic",No updates yet,"""Delivery Apps Memo""; ""Promise Tracked""",,2025-05-16,,,,Okay
Transportation,Invest In Deliverista Hubs,DOT,2025-01-07,Not started,No,No specific targets stated,Builds street hubs for delivery workers with bathrooms and charging stations.,• Invest in Street Deliverista Hubs with bathroom access and charging stations. • Hubs provide essential shelter and utilities for app-based delivery workers. • The city will convert existing facilities to serve as these rest stops.,"deliveristas, hubs, worker safety, dot, infrastructure",No updates yet,"""Delivery Apps Memo""; ""Promise Tracked""",,2025-05-16,,,,Okay
